date,region,probe,subfield,ap,ml,dv,n_turns,probe_depth,total_depth,start_channel,end_channel
031723,OFC,1,OFC,35.5,7.8,29.5,39,9.75,19.75,1,32
031723,OFC,2,OFC,33.5,9.5,30,51,12.75,17.25,33,64
031723,OFC,3,OFC,30.5,10.5,30.5,65,16.25,14.25,65,96
031723,HPC,4,CA3,17.4,13,28.5,105.5,26.375,2.125,97,128
031723,HPC,5,CA3,15.1,13.5,28.5,103.5,25.875,2.625,129,160
031723,HPC ,6,CA3,12.6,13.5,28.5,102.5,25.625,2.875,161,192
032023,OFC,1,OFC,35.5,7.8,29.5,43,10.75,18.75,1,32
032023,OFC,2,OFC,33.5,9.5,30,49.5,12.375,17.625,33,64
032023,OFC,3,OFC,30.5,10.5,30.5,61,15.25,15.25,65,96
032023,HPC,4,CA1,15.1,13.5,28.5,120,30,-1.5,97,128
032023,HPC,5,CA1,12.6,13.5,28.5,119,29.75,-1.25,129,160
032823,OFC,2,OFC,35,8,29.5,39.3,9.825,19.675,33,64
032823,OFC,3,OFC,33,9.2,29.5,44,11,18.5,65,96
032823,OFC,1,OFC,31,10.7,29.5,51,12.75,16.75,1,32
032823,HPC,4,CA3,16.6,12.6,29.5,100,25,4.5,97,128
032823,HPC,5,CA1,14.1,13.3,29.5,128,32,-2.5,129,160
032823,HPC ,6,CA1,11.6,14.3,28.5,120,30,-1.5,161,192
033123,OFC,1,OFC,35,8,29.5,39,9.75,19.75,1,32
033123,OFC,2,OFC,33,9.2,29.5,45,11.25,18.25,33,64
033123,OFC,3,OFC,31,10.7,29.5,52,13,16.5,65,96
033123,HPC,4,CA3,16.6,12.6,29.5,100,25,4.5,97,128
033123,HPC,5,CA3,14.1,13.3,29.5,98,24.5,5,129,160
033123,HPC ,6,CA3,11.6,14.3,28.5,95.5,23.875,4.625,161,192
040423,OFC,1,OFC,35.5,8.6,29.5,40,10,19.5,1,32
040423,OFC,2,OFC,33,10,29.5,51,12.75,16.75,33,64
040423,OFC,3,OFC,30.5,9.5,30.5,78,19.5,11,65,96
040423,HPC,4,RAD,17.3,10,31,120,30,1,97,128
040423,HPC,5,CA1,15.6,13,29.5,124,31,-1.5,129,160
040423,HPC ,6,CA1,12.1,13.7,29.5,129,32.25,-2.75,161,192
040723,OFC,2,OFC,33,10,29.5,44,11,18.5,33,64
040723,OFC,3,OFC,30.5,9.5,30.5,71,17.75,12.75,65,96
040723,HPC,4,RAD,17.3,10,31,116,29,2,97,128
040723,HPC,5,RAD,15.6,13,29.5,120,30,-0.5,129,160
040723,HPC,6,RAD,12.1,13.7,29.5,117,29.25,0.25,161,192